stimulus,condition,rt1,resp1,rt2,resp2,rt3,resp3,rt4,resp4,rt5,resp5,enter_rt,enter_resp,unknown,subject,session
87397,2,654,8,262,7,231,3,336,9,211,7,274,-35,,1,1
74238,2,853,7,599,4,372,2,222,3,539,8,388,-35,,1,1
14263,0,727,1,235,4,263,2,230,6,231,3,223,-35,,1,1
97187,2,761,9,211,7,235,1,213,8,198,7,338,-35,,1,1
69742,2,1133,6,244,9,184,7,372,4,263,2,424,-35,,1,1
81818,0,845,8,230,1,226,8,235,1,249,8,251,-35,,1,1
65695,0,837,6,213,5,203,6,239,9,244,5,270,-35,,1,1
69456,2,830,6,221,9,235,4,230,5,541,6,269,-35,,1,1
43942,2,1451,4,213,3,276,9,216,7,667,2,374,-35,,1,1
23978,2,945,2,241,3,238,9,208,7,198,8,261,-35,,1,1
69439,0,1058,6,235,9,225,4,304,3,240,9,291,-35,,1,1
87145,0,1044,5,222,7,16,4,826,1,198,4,190,5,,1,1
18146,2,654,1,253,8,239,1,258,4,213,6,274,-35,,1,1
52745,2,720,5,226,2,248,7,249,4,190,5,233,-35,,1,1
87812,2,974,8,222,7,207,8,240,4,49,1,197,2,,1,1
25265,2,765,2,294,5,286,2,317,6,225,5,284,-35,,1,1
73187,2,910,7,281,3,239,1,317,8,221,7,274,-35,,1,1
46525,2,884,4,244,6,253,5,208,2,221,5,256,-35,,1,1
12595,2,638,1,226,2,225,5,263,9,230,5,233,-35,,1,1
95261,2,758,9,225,5,231,2,203,6,235,1,243,-35,,1,1
87127,2,810,8,216,7,276,1,194,2,190,7,256,-35,,1,1
42586,2,805,4,227,2,267,5,831,8,591,6,278,-35,,1,1
27378,2,892,2,318,7,386,3,362,7,199,8,270,-35,,1,1
84527,2,888,8,235,4,226,5,257,2,240,7,269,-35,,1,1
26595,2,671,2,408,6,281,5,317,9,235,5,210,-35,,1,1
87181,2,992,8,226,7,271,1,217,8,213,1,224,-35,,1,1
58692,2,862,5,299,8,258,6,289,9,340,2,219,-35,,1,1
63819,2,775,6,253,3,271,8,249,1,195,9,296,-35,,1,1
58638,0,835,5,290,8,226,6,230,3,208,8,237,-35,,1,1
23186,2,736,2,212,3,235,1,240,8,235,6,255,-35,,1,1
42745,0,1005,4,291,3,311,3,335,7,349,4,176,5,,1,1
63746,2,790,6,267,3,316,7,322,4,236,6,305,-35,,1,1
38186,0,756,3,206,8,226,1,217,8,245,6,228,-35,,1,1
71461,0,1372,7,254,1,330,4,577,6,207,1,211,-35,,1,1
42718,2,841,4,208,2,226,7,235,1,199,8,242,-35,,1,1
58656,2,760,5,217,8,244,6,221,5,199,6,256,-35,,1,1
38739,2,721,3,207,8,249,7,422,3,244,8,3,9,,1,1
31231,2,710,3,208,1,217,2,203,3,207,1,215,-35,,1,1
69469,2,837,6,217,9,225,4,204,6,239,9,278,-35,,1,1
38437,2,702,3,216,8,207,4,231,3,408,7,320,-35,,1,1
86925,2,914,8,226,6,267,9,321,2,217,5,251,-35,,1,1
23737,2,748,2,203,3,207,7,204,3,230,7,256,-35,,1,1
26184,2,771,2,217,6,234,1,226,8,230,4,266,-35,,1,1
